                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.64183,                 2.1956,                0.19214,                0.46269,                0.88571,                 0.8608,                   0.95,                0.92765,                0.77145,                0.67613,                   0.55,                0.51613,                0.12955,                0.83914,                 4.6456,                0.15895,                0.53545,                 1.0393,              0.0009506,              0.0009506,              0.0009506
                     56,                0.61817,                 2.0845,                0.18024,                0.45415,                0.86947,                 0.9057,                      1,                0.98136,                0.76901,                0.78194,                   0.55,                0.64394,                0.21898,                0.79458,                 4.3219,                0.14532,                0.52923,                 1.0182,              0.0009308,              0.0009308,              0.0009308
                     57,                0.60626,                 2.0688,                 0.1909,                0.45241,                0.87282,                0.90548,                      1,                0.98795,                0.77355,                0.77843,                0.52791,                 0.6139,                0.22399,                0.75025,                 4.2535,                0.13555,                0.52914,                  1.011,               0.000911,               0.000911,               0.000911
                     58,                0.65663,                 2.3656,                0.19203,                0.46619,                0.87518,                 0.9045,                      1,                0.98295,                0.75815,                0.77923,                   0.55,                0.64788,                0.18682,                0.79492,                 4.1941,                0.12883,                0.52703,                 1.0444,              0.0008912,              0.0008912,              0.0008912
                     59,                0.61924,                 2.2283,                0.19271,                0.45483,                0.87164,                0.90533,                      1,                0.98795,                0.72692,                0.64855,                    0.6,                0.54047,                0.17632,                 0.8676,                 4.0525,                0.12281,                0.53783,                 1.0635,              0.0008714,              0.0008714,              0.0008714
                     60,                0.65831,                 2.3002,                0.19838,                0.46536,                0.88559,                0.90789,                      1,                0.99262,                0.71019,                0.59076,                   0.65,                0.48995,                0.17666,                0.84187,                 4.0735,                 0.1278,                0.60518,                 1.0733,              0.0008516,              0.0008516,              0.0008516
                     61,                0.57928,                 2.0745,                0.18312,                0.43571,                0.86521,                0.91603,                      1,                0.99262,                0.77096,                0.65787,                    0.7,                0.60578,                0.21854,                0.73556,                 3.9406,                0.12814,                0.54674,                 1.0336,              0.0008318,              0.0008318,              0.0008318
                     62,                0.62703,                 2.1946,                0.17765,                0.46104,                0.88312,                0.92616,                      1,                0.99262,                0.79431,                0.72152,                   0.65,                 0.6241,                0.29324,                0.74481,                  3.868,                0.13339,                0.53591,                 1.0126,               0.000812,               0.000812,               0.000812
                     63,                0.62243,                 2.1842,                 0.1785,                0.45356,                0.86689,                0.96559,                      1,                  0.995,                0.83019,                0.77187,                    0.7,                0.71353,                0.29053,                0.78938,                 4.0501,                0.14954,                0.49277,                 1.0436,              0.0007922,              0.0007922,              0.0007922
                     64,                0.62858,                 2.0719,                0.18613,                 0.4635,                0.87816,                0.97472,                      1,                  0.995,                0.79331,                0.75373,                0.61267,                0.67354,                0.18543,                 0.7523,                 4.3619,                0.16255,                0.49733,                  1.054,              0.0007724,              0.0007724,              0.0007724
                     65,                0.62965,                 2.1655,                0.19667,                0.45577,                0.89254,                0.88693,                   0.95,                0.93017,                0.77203,                0.85667,                    0.6,                0.67407,                 0.1462,                0.77591,                 4.3969,                0.16216,                0.49082,                 1.0471,              0.0007526,              0.0007526,              0.0007526
                     66,                0.61626,                 2.1685,                 0.1906,                0.45997,                0.87372,                0.87159,                   0.95,                0.92084,                0.72455,                0.54102,                    0.5,                0.49703,                0.12159,                0.88696,                 4.4074,                 0.1495,                 0.5578,                 1.0593,              0.0007328,              0.0007328,              0.0007328
                     67,                0.58828,                 2.0691,                0.18058,                0.43236,                0.86295,                0.87156,                   0.95,                 0.9147,                0.72568,                 0.7051,                    0.6,                0.65512,                0.20261,                0.91318,                 4.1879,                 0.1158,                0.55887,                 1.0857,               0.000713,               0.000713,               0.000713
                     68,                0.58967,                 1.9739,                 0.1773,                0.44253,                0.86265,                0.88389,                   0.95,                0.91362,                0.73825,                0.61612,                   0.65,                0.61118,                0.23685,                0.88206,                 3.8387,                0.11377,                0.55031,                 1.0643,              0.0006932,              0.0006932,              0.0006932
                     69,                0.58939,                 1.9464,                0.17831,                 0.4345,                0.85774,                0.86113,                   0.95,                0.92232,                0.75467,                0.58919,                   0.65,                0.54488,                0.20734,                0.85844,                 3.9726,                0.11394,                0.52502,                 1.0486,              0.0006734,              0.0006734,              0.0006734
                     70,                0.57251,                  1.923,                0.17944,                0.42783,                0.85933,                0.90637,                      1,                0.97025,                0.77586,                 0.5891,                   0.65,                0.55403,                0.19206,                0.78442,                 4.0283,                0.11472,                0.51474,                 1.0229,              0.0006536,              0.0006536,              0.0006536
                     71,                0.60478,                 2.0892,                0.18332,                 0.4497,                0.87772,                0.90624,                      1,                0.97094,                0.79812,                0.69898,                   0.65,                0.67047,                 0.2103,                0.70608,                 4.1203,                0.12054,                0.51338,                  1.027,              0.0006338,              0.0006338,              0.0006338
                     72,                0.57567,                  2.003,                0.17949,                 0.4287,                0.86076,                0.90646,                      1,                0.96747,                 0.7853,                0.66814,                   0.65,                0.69199,                0.23362,                0.79557,                 3.9005,                0.11662,                0.51244,                 1.0438,               0.000614,               0.000614,               0.000614
                     73,                0.58847,                 2.0226,                0.19889,                0.43966,                0.87252,                 0.9065,                      1,                0.97045,                0.74808,                0.65056,                    0.6,                0.68799,                0.23286,                0.84717,                 4.0256,                0.11649,                0.53396,                  1.052,              0.0005942,              0.0005942,              0.0005942
                     74,                 0.5992,                 2.1315,                0.18365,                0.44259,                0.86691,                0.86347,                   0.95,                0.88407,                0.73535,                0.66505,                   0.65,                0.75518,                0.30048,                0.78913,                 3.8419,                0.11386,                0.51965,                 1.0594,              0.0005744,              0.0005744,              0.0005744
                     75,                0.58772,                 2.0293,                0.17126,                0.43841,                0.86607,                0.90756,                      1,                0.96881,                0.77992,                0.62106,                    0.6,                  0.681,                 0.2992,                0.73028,                 3.9306,                0.11574,                0.53238,                 1.0592,              0.0005546,              0.0005546,              0.0005546
                     76,                0.56923,                  1.945,                0.16956,                0.42237,                0.85194,                0.90664,                      1,                0.94741,                0.76838,                0.58929,                   0.65,                0.55079,                0.23628,                 0.7623,                 3.7526,                0.11455,                0.56246,                 1.0587,              0.0005348,              0.0005348,              0.0005348
                     77,                0.59547,                 2.0166,                0.18077,                0.43295,                0.86957,                0.90656,                      1,                0.94175,                0.76568,                0.58927,                   0.65,                0.53264,                0.22767,                0.75239,                 3.7787,                 0.1154,                0.53647,                 1.0504,               0.000515,               0.000515,               0.000515
                     78,                0.56358,                 1.9037,                0.17623,                0.41996,                 0.8649,                0.90651,                      1,                0.95094,                0.79805,                0.61902,                0.64993,                 0.5412,                 0.2202,                0.70493,                 3.9128,                0.12388,                0.52968,                 1.0396,              0.0004952,              0.0004952,              0.0004952
                     79,                0.54663,                   2.01,                0.19104,                0.41357,                0.86104,                0.90637,                      1,                0.97012,                0.78697,                0.61584,                   0.65,                0.59186,                 0.2289,                 0.7638,                 3.7945,                0.12009,                0.55203,                 1.0482,              0.0004754,              0.0004754,              0.0004754
                     80,                0.55711,                 2.0244,                0.17544,                0.41406,                0.86067,                0.88117,                   0.95,                0.94676,                0.78633,                0.68981,                   0.75,                0.77392,                0.36268,                0.81852,                 3.5228,                0.11184,                0.53946,                 1.0458,              0.0004556,              0.0004556,              0.0004556
                     81,                0.53539,                 1.8611,                 0.1756,                0.40519,                0.86287,                0.89022,                   0.95,                0.95828,                 0.7971,                0.67245,                    0.7,                0.72513,                0.32069,                0.82282,                 3.6192,                0.11096,                0.54746,                 1.0466,              0.0004358,              0.0004358,              0.0004358
                     82,                0.55741,                 1.8247,                0.17022,                0.40441,                0.85628,                0.89855,                   0.95,                0.95163,                 0.8064,                0.66549,                    0.7,                 0.7182,                0.31569,                0.80148,                 3.7085,                0.12055,                0.55786,                 1.0446,               0.000416,               0.000416,               0.000416
                     83,                0.53737,                 1.8777,                0.18049,                0.40541,                0.85205,                0.90079,                   0.95,                0.94006,                0.75861,                0.69218,                    0.7,                0.74125,                0.33081,                 0.7915,                 3.7096,                0.11974,                0.54152,                 1.0468,              0.0003962,              0.0003962,              0.0003962
                     84,                0.52921,                 1.8057,                0.18773,                0.40005,                0.85695,                0.94836,                      1,                0.98548,                0.80216,                0.73982,                   0.65,                0.71015,                0.32871,                0.77994,                 3.8245,                0.12124,                0.52842,                 1.0494,              0.0003764,              0.0003764,              0.0003764
                     85,                0.53202,                 1.7618,                0.17325,                 0.3956,                0.85168,                0.94903,                      1,                0.98548,                0.80244,                0.74131,                    0.6,                0.67673,                0.31769,                0.73725,                 3.9574,                0.12439,                0.51699,                   1.04,              0.0003566,              0.0003566,              0.0003566
                     86,                0.52406,                 1.7881,                0.17256,                0.39855,                0.85127,                0.94844,                      1,                0.98548,                0.81183,                  0.726,                   0.65,                0.70958,                 0.3285,                0.70146,                 3.9624,                 0.1219,                0.48254,                 1.0331,              0.0003368,              0.0003368,              0.0003368
                     87,                0.51301,                 1.7143,                0.17197,                0.40055,                0.85099,                0.94591,                      1,                0.97595,                0.79534,                0.69709,                0.57607,                0.64898,                0.31838,                0.70235,                 3.7533,                0.11316,                0.49438,                 1.0389,               0.000317,               0.000317,               0.000317
                     88,                0.52443,                 1.7974,                0.18396,                0.39384,                0.85016,                0.94442,                      1,                0.97357,                0.81193,                0.69166,                0.56131,                0.64444,                0.30835,                 0.7006,                 3.9897,                0.11397,                0.48173,                  1.045,              0.0002972,              0.0002972,              0.0002972
                     89,                0.54455,                 1.7815,                0.17232,                0.40411,                0.85752,                0.94277,                      1,                0.97595,                0.80187,                0.76036,                0.63523,                0.68627,                0.32242,                0.69746,                 3.9152,                0.11528,                0.49055,                 1.0459,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.5292,                 1.7876,                0.17544,                0.40076,                0.85315,                0.94225,                      1,                0.97833,                0.81959,                0.76702,                   0.65,                0.72977,                 0.3364,                0.70026,                 3.7333,                0.11186,                0.50579,                 1.0535,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.4673,                 1.3868,                0.12547,                0.36754,                 0.8147,                0.94153,                      1,                0.98071,                0.78727,                0.68911,                    0.6,                0.67321,                0.30348,                0.71785,                 3.7849,                0.10134,                0.50395,                 1.0571,              0.0002378,              0.0002378,              0.0002378
                     92,                0.45593,                 1.3396,                0.12612,                0.35664,                0.80985,                0.94471,                      1,                0.99024,                0.76754,                 0.7767,                   0.65,                 0.7167,                0.32137,                0.75496,                 3.7427,                0.09766,                0.51552,                  1.069,               0.000218,               0.000218,               0.000218
                     93,                0.43652,                  1.355,                0.12078,                 0.3493,                0.82918,                 0.9472,                      1,                  0.995,                0.77618,                0.79562,                   0.65,                0.71232,                 0.3301,                0.76263,                 3.7071,                0.09666,                0.51551,                 1.0757,              0.0001982,              0.0001982,              0.0001982
                     94,                0.44237,                 1.3246,                0.13007,                0.34751,                0.81729,                0.94763,                      1,                0.99024,                0.78115,                0.81722,                   0.65,                0.71333,                0.32782,                0.75338,                 3.7214,                0.09779,                0.49548,                 1.0767,              0.0001784,              0.0001784,              0.0001784
                     95,                0.44584,                 1.3123,                 0.1214,                0.34743,                  0.822,                0.94725,                      1,                0.98548,                0.77594,                0.82711,                   0.65,                0.70978,                 0.3191,                0.76141,                 3.6569,                 0.1014,                  0.499,                 1.0832,              0.0001586,              0.0001586,              0.0001586
                     96,                0.43255,                 1.2759,                0.12857,                0.34877,                0.82205,                0.94782,                      1,                0.98548,                0.77587,                0.82124,                   0.65,                0.70339,                0.30538,                0.75527,                 3.7181,                0.10582,                0.47783,                 1.0766,              0.0001388,              0.0001388,              0.0001388
                     97,                0.42932,                 1.2738,                0.12385,                0.34561,                0.81437,                0.94816,                      1,                0.99024,                0.79047,                0.88014,                    0.7,                0.76492,                0.32205,                0.76828,                 3.7109,                0.10519,                0.45986,                 1.0745,               0.000119,               0.000119,               0.000119
